Time    	Lin Cylinder_BoomLift_L x
25.86	501.57369
25.8744	499.8119855
25.8888	498.0511449
25.902	496.2944084
25.9164	494.39217
25.9308	492.6342475
25.944	490.8786977
25.9596	488.9768598
25.9752	487.2193899
25.9908	485.4621886
26.0052	483.5602917
26.0196	481.9529179
26.034	480.0599879
26.0484	478.3155094
26.0628	476.561113
26.076	474.7974173
26.0892	473.0327939
26.1036	471.1303383
26.118	469.5298529
26.1324	467.7881631
26.1468	466.1877927
26.16	464.4328439
26.1756	462.5279402
26.1888	460.9184411
26.2044	459.1670483
26.2188	457.564023
26.2332	455.8152965
26.2488	453.9169848
26.262	452.018386
26.2764	450.1284326
26.2908	448.3894292
26.304	446.7936373
26.3196	444.8974441
26.334	443.2868036
26.3496	441.5345583
26.364	439.4977763
26.3772	437.8971999
26.3916	436.1522481
26.406	434.5530251
26.4204	432.8061613
26.4348	430.9157368
26.448	429.1749253
26.4624	427.2913028
26.4768	425.6954617
26.4924	423.8064938
26.5068	422.065352
26.52	420.3286779
26.5356	418.4366907
26.55	416.535752
26.5644	414.9298908
26.5788	413.1838012
26.5932	411.5857519
26.6088	409.8506739
26.6232	408.1167993
26.6388	406.3708143
26.6532	404.4755978
26.6676	402.5880624
26.6832	400.7013736
26.6988	398.9664939
26.712	397.2428808
26.7264	395.5142117
26.7408	393.9195973
26.754	392.030757
26.7684	390.4320702
26.784	388.6907437
26.7972	386.9606638
26.8104	385.3794719
26.8248	383.5016606
26.8404	381.7587736
26.8548	380.1594658
26.8692	378.2753414
26.8836	376.5418567
26.898	374.8044344
26.9124	373.0662613
26.9268	371.4812537
26.9412	369.6053711
26.9556	367.8657598
26.9712	365.9852112
26.9844	364.2549656
26.9988	362.5274838
27.012	360.796951
27.0252	359.2094816
27.0396	357.3397826
27.0552	355.7605129
27.0696	354.0350282
27.084	352.1540421
27.0996	350.5551992
27.114	348.8132471
27.1284	347.0836788
27.1428	345.5077811
27.156	343.7894182
27.1692	342.0642194
27.1848	340.1843812
